,MEHP950101,KOSJ950113,KOSJ950110,OVEJ920103,DAYM780302,MUET010101,LUTR910102,DOSZ010104,FEND850101,LUTR910107,KOSJ950104,OVEJ920105,LUTR910108,GONG920101,ALTS910101,PRLA000101,NGPC000101,PRLA000102,BENS940102,GRAR740104,RUSR970103,KOSJ950115,TUDE900101,FITW660101,LUTR910106,KOSJ950112,OGAK980101,NIEK910101,JOHM930101,AZAE970102,LUTR910101,GEOD900101,AZAE970101,LUTR910105,MOHR870101,BENS940104,KOSJ950105,BENS940101,KOSJ950107,MEHP950102,NAOD960101,DAYM780301,MEHP950103,KAPO950101,LEVJ860101,BENS940103,KOSJ950106,MCLA720101,HENS920104,RUSR970102,RIER950101,KOSJ950109,MUET020102,VOGG950101,NIEK910102,OVEJ920101,MCLA710101,MIYT790101,DOSZ010102,OVEJ920102,CSEM940101,LINK010101,RUSR970101,LUTR910103,HENS920102,HENS920101,JOND920103,LUTR910109,KOSJ950108,WEIL970101,MIYS930101,KANM000101,JOND940101,QUIB020101,DOSZ010103,RISJ880101,BLAJ010101,CROG050101,KOSJ950103,MUET020101,KOSJ950101,KOSJ950102,KOSJ950111,OVEJ920104,KOLA920101,HENS920103,LUTR910104,WEIL970102,GIAG010101,DOSZ010101,KOSJ950114
A-R,1.17,0.7,1.1,0.05,-6.0,-5.5,5.0,-2.01,2.0,1.0,0.1,0.015,-1.0,-0.6,-3.0,-0.5,-6.0,-2.24,-1.2,112.0,1.0,0.8,-2.0,2.0,1.0,0.4,-7.0,0.09,-1.6,1.0,0.0,5.0,1.0,-3.0,8.0,-1.6,0.6,-1.7,0.8,0.8,0.0,-2.0,1.02,16.8,0.0,-0.8,0.5,0.0,-4.0,0.0,13.0,0.9,-1.0,4.6,0.11,-1.0,2.0,2.92,-5.1,0.08800000000000001,-0.07,0.03,1.0,-2.0,-2.0,-2.0,-1.0,-2.0,0.6,-1.0,-0.08,-9.0,-1.0,0.2,-0.2,1.5,0.0,-2.0,1.1,-2.0,1.5,2.2,1.1,0.062,6.6,-3.0,-2.0,0.0,-2.4,-4.9,0.6
A-S,1.17,4.2,6.7,0.057,0.0,2.0,9.0,0.01,5.0,4.0,3.7,0.149,3.0,1.1,1.0,0.34,2.0,1.27,1.3,99.0,0.0,5.9,10.0,1.0,12.0,4.7,-5.6,-0.38,0.0,0.0,4.0,9.0,1.0,5.0,10.0,0.1,6.6,1.4,0.8,0.8,0.0,1.0,1.04,20.4,1.0,1.1,7.3,1.0,2.0,2.0,94.0,6.4,1.0,6.3,-0.4,0.0,4.0,0.51,-5.11,0.163,0.14,0.069,0.0,1.0,2.0,1.0,1.0,7.0,5.7,0.0,0.16,12.0,2.0,1.7,1.8,2.0,0.0,0.0,4.4,1.0,2.8,6.2,4.2,0.07400000000000001,0.0,2.0,9.0,-1.0,-0.4,-1.6,4.4
A-T,1.06,2.8,3.8,0.055,0.0,1.5,8.0,-0.96,5.0,3.0,1.4,0.10300000000000001,2.0,0.6,1.0,0.13,0.0,0.6,1.4,58.0,0.0,3.2,-3.0,1.0,6.0,2.6,-6.2,-0.59,-0.8,-2.0,3.0,10.0,-2.0,3.0,10.0,0.9,1.6,1.7,4.5,0.97,0.0,1.0,0.92,18.1,0.0,0.7,3.7,1.0,0.0,0.0,98.0,2.6,1.0,5.8,-0.63,-1.0,3.0,0.9,-6.13,0.12,0.11,0.040999999999999995,1.0,1.0,0.0,0.0,2.0,4.0,4.4,0.0,0.18,0.0,1.0,1.7,1.6,1.9,-3.0,-1.0,2.0,1.0,3.7,4.8,2.3,0.059000000000000004,0.0,0.0,6.0,0.0,0.9,-5.2,1.7
A-V,1.09,3.2,3.0,0.065,-2.0,1.5,0.0,0.48,5.0,2.0,3.1,0.071,-6.0,0.1,0.0,0.02,1.0,0.16,0.4,64.0,0.0,2.6,-12.0,1.0,-7.0,2.0,-5.9,-0.23,-0.5,-4.0,3.0,8.0,-5.0,-2.0,9.0,1.0,2.8,0.7,4.4,1.05,-2.0,0.0,0.65,16.7,0.0,0.1,2.4,0.0,0.0,1.0,94.0,2.3,0.0,5.3,-0.25,0.0,3.0,1.85,-2.26,0.098,0.06,0.055,-1.0,-5.0,0.0,0.0,1.0,-5.0,2.1,1.0,-0.06,6.0,0.0,1.9,5.5,2.0,0.0,-1.0,4.1,0.0,2.0,5.1,3.6,0.079,0.0,-1.0,-1.0,1.0,-3.9,23.7,3.7
A-W,0.9,0.3,0.0,0.013999999999999999,-12.0,-2.5,-20.0,-2.08,2.0,-9.0,0.2,0.02,-43.0,-3.6,-7.0,-0.66,-4.0,-2.61,-5.5,148.0,0.0,0.2,-12.0,2.0,-23.0,0.0,-9.0,-0.11,-5.8,-1.0,-6.0,5.0,-2.0,-2.0,11.0,-2.2,0.1,-4.3,0.1,1.18,0.0,-6.0,0.86,10.1,-1.0,-4.1,0.1,0.0,-6.0,-1.0,98.0,0.2,-3.0,1.6,-0.11,-3.0,1.0,4.23,-1.22,0.065,-0.25,0.003,-4.0,-20.0,-4.0,-2.0,-4.0,-17.0,0.1,0.0,-0.51,-29.0,-4.0,-3.3,0.5,-0.9,-11.0,-3.0,0.4,-5.0,0.4,0.1,0.3,0.033,0.0,-5.0,-50.0,3.0,-0.4,17.6,0.0
A-Y,0.86,0.2,0.6,0.031,-7.0,-3.5,-4.0,-2.19,2.0,-5.0,0.1,0.032,-19.0,-2.2,-4.0,-1.25,-3.0,-4.22,-3.5,112.0,0.0,0.4,-18.0,2.0,0.0,0.1,-7.5,-0.59,-4.0,-1.0,-6.0,7.0,-2.0,-10.0,9.0,-2.4,0.8,-4.0,0.1,1.23,0.0,-3.0,0.84,15.3,-1.0,-2.6,0.2,0.0,-4.0,0.0,94.0,0.4,-2.0,3.0,-0.63,-3.0,1.0,3.18,-2.38,0.036000000000000004,-0.36,0.009000000000000001,1.0,-21.0,-3.0,-2.0,-3.0,-5.0,0.1,0.0,-0.34,-19.0,-3.0,-1.8,1.8,0.2,-3.0,-2.0,0.1,-3.0,0.1,1.6,0.1,0.035,0.0,-4.0,-15.0,2.0,-0.4,18.9,0.4
C-A,1.41,4.2,4.6,0.0,-6.0,2.5,1.0,-0.65,2.0,-5.0,12.9,0.006999999999999999,4.0,0.5,-3.0,0.33,1.0,0.45,-1.2,195.0,2.0,6.6,4.0,2.0,0.0,11.3,-7.7,-0.35,-3.4,2.0,-5.0,9.0,5.0,-22.0,11.0,-1.9,7.5,-1.7,9.5,0.75,2.0,-2.0,0.49,21.5,0.0,0.3,5.9,0.0,-2.0,2.0,98.0,3.5,1.0,5.7,-0.38,-2.0,1.0,1.39,-1.72,0.001,0.04,0.035,2.0,2.0,-1.0,-1.0,-1.0,-5.0,9.2,0.0,-0.51,6.0,0.0,1.2,2.7,-1.5,-5.0,0.0,7.1,1.0,1.5,1.9,8.6,0.002,0.0,-1.0,8.0,0.0,0.4,19.2,6.9
C-D,1.44,1.3,1.1,0.0,-12.0,-7.5,-14.0,-3.34,1.0,-15.0,1.5,0.0,-4.0,-3.2,-7.0,-2.51,-7.0,-6.98,-3.7,154.0,0.0,1.6,-20.0,2.0,0.0,1.1,-8.3,-0.1,-9.7,-8.0,-13.0,5.0,-8.0,-26.0,8.0,-1.6,1.4,-3.7,4.0,0.67,-4.0,-5.0,0.6,14.0,0.0,-3.2,0.8,0.0,-8.0,-1.0,30.0,1.3,-3.0,2.0,-0.1,-7.0,1.0,3.48,-12.59,0.0,-0.24,0.006,0.0,-1.0,-5.0,-3.0,-3.0,-16.0,0.1,-2.0,-0.41,-30.0,-3.0,-3.1,-4.9,-1.7,-13.0,-4.0,0.1,-5.0,1.6,1.7,2.6,0.001,0.0,-7.0,-13.0,1.0,0.2,-7.4,1.5
C-E,1.43,0.9,0.3,0.016,-12.0,-7.0,-16.0,-3.46,0.0,-15.0,1.2,0.0,-5.0,-3.0,-7.0,-1.97,-7.0,-4.7,-4.3,170.0,-8.0,1.2,-18.0,3.0,-1.0,1.6,-10.2,-0.34,-6.9,-6.0,-12.0,5.0,-8.0,-30.0,9.0,-3.0,0.7,-4.7,2.3,0.69,-6.0,-5.0,0.57,12.2,0.0,-3.2,0.8,0.0,-6.0,-4.0,36.0,1.8,-3.0,2.2,-0.36,-3.0,0.0,3.26,-10.67,0.0,-0.51,0.003,-8.0,-3.0,-5.0,-3.0,-4.0,-21.0,1.4,-2.0,-0.64,-39.0,-3.0,-2.4,-4.1,-1.5,-20.0,-4.0,0.1,-5.0,2.6,0.1,1.3,0.006,0.0,-7.0,-2.0,2.0,-0.3,-12.2,0.6
C-F,1.16,2.2,2.3,0.013999999999999999,-11.0,2.5,-36.0,-0.03,3.0,-19.0,0.1,0.005,-4.0,-0.8,-6.0,1.13,0.0,1.72,-0.1,205.0,3.0,1.6,11.0,1.0,-40.0,1.0,-8.9,-0.05,-4.4,3.0,-12.0,8.0,2.0,12.0,10.0,1.8,1.1,-0.1,1.5,1.04,3.0,-4.0,0.46,13.5,-1.0,-0.7,1.2,0.0,-4.0,3.0,89.0,0.9,-2.0,4.4,-0.07,-2.0,0.0,2.24,2.61,0.0,0.3,0.009000000000000001,-1.0,4.0,-4.0,-2.0,0.0,-31.0,2.0,0.0,0.39,-18.0,1.0,-0.8,2.7,-1.6,-12.0,-2.0,3.0,-4.0,0.8,8.4,2.3,0.012,5.0,-4.0,-12.0,2.0,0.0,35.3,1.3
