,MEHP950101,KOSJ950113,KOSJ950110,OVEJ920103,DAYM780302,MUET010101,LUTR910102,DOSZ010104,FEND850101,LUTR910107,KOSJ950104,OVEJ920105,LUTR910108,GONG920101,ALTS910101,PRLA000101,NGPC000101,PRLA000102,BENS940102,GRAR740104,RUSR970103,KOSJ950115,TUDE900101,FITW660101,LUTR910106,KOSJ950112,OGAK980101,NIEK910101,JOHM930101,AZAE970102,LUTR910101,GEOD900101,AZAE970101,LUTR910105,MOHR870101,BENS940104,KOSJ950105,BENS940101,KOSJ950107,MEHP950102,NAOD960101,DAYM780301,MEHP950103,KAPO950101,LEVJ860101,BENS940103,KOSJ950106,MCLA720101,HENS920104,RUSR970102,RIER950101,KOSJ950109,MUET020102,VOGG950101,NIEK910102,OVEJ920101,MCLA710101,MIYT790101,DOSZ010102,OVEJ920102,CSEM940101,LINK010101,RUSR970101,LUTR910103,HENS920102,HENS920101,JOND920103,LUTR910109,KOSJ950108,WEIL970101,MIYS930101,KANM000101,JOND940101,QUIB020101,DOSZ010103,RISJ880101,BLAJ010101,CROG050101,KOSJ950103,MUET020101,KOSJ950101,KOSJ950102,KOSJ950111,OVEJ920104,KOLA920101,HENS920103,LUTR910104,WEIL970102,GIAG010101,DOSZ010101,KOSJ950114
C-G,1.36,1.1,1.3,0.0,-8.0,-1.5,-36.0,-1.2,3.0,-21.0,0.1,0.0,4.0,-2.0,-5.0,-2.11,-2.0,-5.7,-1.7,159.0,0.0,1.3,-1.0,1.0,-10.0,0.9,-7.5,0.12,-8.2,0.0,-15.0,8.0,1.0,-33.0,8.0,1.0,4.2,-1.3,2.9,0.8,0.0,-3.0,0.51,15.0,0.0,-2.0,1.2,0.0,-6.0,-1.0,94.0,1.5,-1.0,3.2,0.13,-6.0,1.0,2.22,-8.6,0.0,0.25,0.012,-1.0,4.0,-4.0,-3.0,-1.0,-18.0,1.4,0.0,-0.18,-29.0,-1.0,-1.3,-1.6,-1.7,-15.0,-3.0,2.0,-2.0,0.1,1.7,2.3,0.0,0.0,-6.0,3.0,3.0,-0.3,-3.0,1.4
C-H,1.5,0.5,0.5,0.0,-7.0,-5.0,-20.0,-2.28,2.0,-23.0,0.1,0.0,-5.0,-1.3,-4.0,-1.5,-7.0,-5.95,-1.5,174.0,2.0,0.5,3.0,2.0,-2.0,0.1,-9.3,-0.04,-8.2,-1.0,-23.0,9.0,-2.0,-33.0,10.0,-1.6,0.1,-1.2,0.1,0.69,-2.0,-3.0,0.39,13.5,0.0,-1.3,0.7,0.0,-6.0,1.0,69.0,0.0,-1.0,3.9,-0.01,-6.0,3.0,2.56,-5.98,0.0,0.18,0.006999999999999999,5.0,0.0,-4.0,-3.0,0.0,-12.0,0.1,0.0,-0.29,-29.0,-1.0,-1.7,-0.9,-1.8,-18.0,-3.0,0.8,-2.0,0.1,0.1,1.1,0.001,9.0,-7.0,-30.0,3.0,0.1,11.4,0.3
C-I,1.24,1.1,2.6,0.003,-5.0,-0.5,-17.0,0.06,2.0,-13.0,2.0,0.003,5.0,-1.1,-3.0,0.13,-3.0,-0.13,-2.4,198.0,-4.0,1.8,12.0,2.0,-29.0,2.3,-9.0,-0.15,-7.7,4.0,-13.0,9.0,2.0,-26.0,8.0,-1.9,2.3,-3.6,0.1,0.96,4.0,-2.0,0.43,20.9,0.0,-1.2,2.5,0.0,-4.0,1.0,93.0,1.2,0.0,4.1,-0.16,-4.0,1.0,1.63,4.64,0.004,0.26,0.021,-1.0,4.0,-2.0,-3.0,-2.0,-30.0,1.4,0.0,-0.13,-6.0,-1.0,-3.2,4.0,-1.6,-3.0,-1.0,0.4,-1.0,2.1,4.0,0.4,0.004,0.0,-2.0,3.0,1.0,-0.1,31.0,1.8
C-K,1.31,0.0,0.1,0.008,-12.0,-7.0,-22.0,-3.54,0.0,-19.0,0.1,0.0,-6.0,-2.8,-7.0,-2.19,-10.0,-6.65,-3.3,202.0,2.0,0.0,-14.0,3.0,2.0,0.0,-8.5,-0.25,-8.7,-10.0,-16.0,4.0,-11.0,-32.0,9.0,-3.2,0.1,-2.8,0.1,0.79,-7.0,-5.0,0.68,9.83,0.0,-2.9,0.1,0.0,-6.0,0.0,33.0,0.0,-2.0,2.4,-0.31,-4.0,0.0,3.27,-10.42,0.001,-0.43,0.008,-1.0,-4.0,-5.0,-3.0,-3.0,-23.0,0.1,-2.0,-0.81,-29.0,-3.0,-3.0,-4.2,-1.6,-23.0,-4.0,0.1,-4.0,0.1,0.1,0.0,0.003,0.0,-6.0,-2.0,1.0,0.0,-12.3,0.0
C-L,1.41,1.0,2.2,0.0,-13.0,1.0,-35.0,-0.27,2.0,-10.0,0.1,0.001,-8.0,-1.5,-7.0,-0.31,-2.0,-0.82,-2.6,198.0,2.0,1.2,15.0,2.0,-29.0,0.1,-7.7,-0.27,-8.7,2.0,-1.0,9.0,1.0,-34.0,11.0,-1.3,0.8,-3.8,0.1,0.84,2.0,-6.0,0.28,15.5,0.0,-1.6,3.0,0.0,-4.0,2.0,95.0,1.3,-2.0,3.7,-0.29,-6.0,0.0,1.65,3.68,0.0,0.23,0.031,4.0,-3.0,-2.0,-2.0,-3.0,-34.0,1.3,0.0,-0.02,-6.0,-1.0,-1.6,3.7,-1.5,-11.0,-2.0,0.7,-4.0,4.0,0.1,0.0,0.0,0.0,-3.0,-11.0,1.0,0.2,27.4,2.0
C-M,1.36,1.5,0.2,0.0,-12.0,1.0,-17.0,-1.22,2.0,-7.0,0.8,0.0,3.0,-0.9,-6.0,1.04,-2.0,3.5,-2.5,196.0,1.0,0.5,2.0,3.0,-23.0,1.5,-8.7,-0.25,-4.4,1.0,-3.0,10.0,0.0,-17.0,10.0,-2.7,1.8,-3.7,0.1,0.97,2.0,-5.0,0.1,19.8,0.0,-1.2,0.4,0.0,-4.0,1.0,91.0,0.9,0.0,4.3,-0.29,-5.0,3.0,1.46,2.17,0.0,0.1,0.003,3.0,4.0,-2.0,-2.0,-2.0,-28.0,3.2,1.0,-0.29,-8.0,-1.0,-1.3,2.2,-1.6,-9.0,-1.0,0.3,-1.0,0.1,0.1,0.2,0.0,0.0,-3.0,0.0,2.0,0.0,26.1,0.5
C-N,1.36,0.3,0.4,0.0,-9.0,-2.5,-11.0,-1.98,2.0,-9.0,0.1,0.0,1.0,-1.8,-5.0,-2.08,-2.0,-6.53,-1.9,139.0,-1.0,0.3,-7.0,2.0,5.0,0.2,-8.6,0.04,-7.6,-5.0,-7.0,8.0,-4.0,6.0,9.0,-1.5,0.1,-1.6,0.1,0.72,-5.0,-4.0,0.7,14.7,0.0,-1.8,0.4,0.0,-4.0,0.0,58.0,0.7,-1.0,3.4,0.04,-6.0,1.0,2.83,-11.04,0.003,-0.14,0.006999999999999999,-4.0,1.0,-4.0,-2.0,-1.0,-5.0,1.2,0.0,-0.46,-30.0,-1.0,-1.9,-2.4,-1.6,-13.0,-3.0,0.1,-3.0,1.5,0.1,0.1,0.001,0.0,-5.0,4.0,3.0,-0.2,-7.0,0.1
C-P,1.3,0.0,0.0,0.0,-7.0,-9.0,-30.0,-2.65,2.0,-30.0,0.1,0.0,-2.0,-3.1,-3.0,-2.19,-8.0,-6.7,-3.1,169.0,0.0,0.0,-3.0,2.0,-8.0,0.0,-8.3,0.13,-8.9,-2.0,-28.0,9.0,0.0,-22.0,7.0,-1.9,0.1,-2.7,0.7,0.67,-1.0,-3.0,0.96,5.43,0.0,-3.1,0.5,0.0,-8.0,-1.0,86.0,0.4,-2.0,2.1,0.14,-8.0,0.0,1.33,-10.05,0.0,0.02,0.004,-1.0,-1.0,-4.0,-4.0,-2.0,-12.0,0.1,-1.0,-0.65,-30.0,-4.0,-3.6,-3.6,-1.8,-18.0,-3.0,0.1,-3.0,0.7,0.1,0.3,0.001,0.0,-6.0,2.0,2.0,0.0,0.2,0.0
C-Q,1.49,0.0,0.0,0.008,-12.0,-3.5,-5.0,-3.45,1.0,-11.0,0.1,0.0,1.0,-2.4,-7.0,-0.83,-5.0,-2.47,-3.3,154.0,-4.0,0.0,-8.0,2.0,7.0,0.0,-8.3,-0.16,-6.9,-9.0,-10.0,8.0,-10.0,-29.0,10.0,-3.1,1.5,-3.2,0.1,0.65,-4.0,-5.0,0.51,13.8,0.0,-2.6,0.1,0.0,-6.0,-6.0,62.0,0.1,-2.0,2.8,-0.16,-3.0,0.0,2.48,-9.31,0.006,-0.29,0.006999999999999999,2.0,2.0,-4.0,-3.0,-3.0,-11.0,0.7,0.0,-0.74,-30.0,-3.0,-2.5,-2.4,-1.4,-14.0,-3.0,0.1,-4.0,0.1,1.6,0.0,0.005,0.0,-5.0,0.0,3.0,0.1,-6.3,0.1
C-R,1.21,0.0,0.0,0.015,-7.0,-5.0,-10.0,-3.48,2.0,-9.0,0.2,0.0,1.0,-2.2,-4.0,-1.3,-8.0,-6.29,-1.6,180.0,-4.0,0.0,-12.0,1.0,-7.0,0.4,-8.3,-0.17,-5.6,-7.0,-6.0,4.0,-9.0,-28.0,8.0,0.7,0.9,-0.4,0.1,0.84,-5.0,-4.0,0.82,14.4,0.0,-2.2,0.4,0.0,-8.0,-1.0,11.0,0.0,-2.0,3.0,-0.2,-2.0,1.0,3.06,-8.93,0.006,-0.2,0.012,-3.0,2.0,-5.0,-3.0,-1.0,-19.0,0.1,-1.0,-0.35,-29.0,-1.0,-1.3,-3.0,-1.5,-16.0,-4.0,0.1,-3.0,0.1,0.1,0.1,0.008,0.0,-6.0,-1.0,2.0,-0.2,-6.6,0.1
C-S,1.33,1.7,2.7,0.002,-2.0,3.0,-11.0,-0.95,4.0,-11.0,0.1,0.008,7.0,0.1,-1.0,0.31,1.0,1.08,0.3,112.0,-3.0,2.6,-6.0,1.0,-1.0,2.9,-8.2,0.31,-7.7,-2.0,-10.0,8.0,-1.0,6.0,10.0,1.5,4.4,0.9,1.9,0.81,-3.0,0.0,0.55,17.7,0.0,0.1,3.0,2.0,-2.0,-1.0,91.0,2.6,1.0,5.3,0.35,-4.0,2.0,1.84,-8.27,0.004,0.1,0.023,-5.0,5.0,-1.0,-1.0,1.0,-10.0,3.5,0.0,-0.2,-10.0,1.0,0.7,-0.4,-1.3,-18.0,-2.0,2.6,1.0,0.3,2.0,2.6,0.001,9.0,-2.0,10.0,1.0,0.0,2.6,2.0
C-T,1.18,0.9,1.5,0.001,-7.0,1.0,1.0,-0.79,2.0,-6.0,0.3,0.004,6.0,-0.5,-3.0,-0.59,-1.0,-1.89,-1.1,149.0,0.0,1.0,-4.0,2.0,-11.0,1.0,-7.5,0.12,-6.0,-3.0,-7.0,9.0,-5.0,-7.0,10.0,-1.9,2.1,-1.5,0.1,0.93,-2.0,-2.0,0.68,16.2,0.0,-0.6,1.9,0.0,-2.0,-2.0,95.0,1.7,0.0,4.7,0.15,-5.0,2.0,1.45,-7.21,0.002,0.14,0.023,2.0,4.0,-1.0,-1.0,-1.0,-18.0,0.8,0.0,-0.62,-7.0,0.0,0.3,0.5,-1.4,-19.0,-1.0,0.1,0.0,2.2,1.9,0.0,0.001,6.6,-2.0,8.0,1.0,-0.9,1.5,0.7
C-V,1.33,0.3,0.6,0.0,-5.0,1.0,-12.0,0.87,2.0,-8.0,0.1,0.0,3.0,0.0,-2.0,0.34,-2.0,1.32,-1.7,192.0,5.0,1.2,8.0,1.0,-28.0,2.0,-8.1,-0.1,-4.8,5.0,-7.0,9.0,3.0,-11.0,8.0,-2.2,6.6,-3.1,1.2,0.91,4.0,-2.0,0.32,21.4,0.0,-0.2,0.1,0.0,-2.0,2.0,96.0,2.8,1.0,5.2,-0.1,-4.0,1.0,0.86,4.11,0.0,0.33,0.019,7.0,5.0,-1.0,-1.0,-2.0,-27.0,1.4,0.0,-0.19,-6.0,0.0,0.7,4.6,-1.4,0.0,0.0,0.1,1.0,0.1,3.5,0.6,0.0,0.0,-2.0,1.0,1.0,-0.6,31.5,3.2
C-W,0.78,0.0,0.0,0.0,-14.0,-0.5,0.0,-2.5,3.0,-1.0,0.1,0.003,-13.0,-1.0,-8.0,-0.76,-4.0,-3.01,0.5,215.0,2.0,0.2,8.0,1.0,-43.0,0.9,-12.0,0.0,-9.1,0.0,-3.0,6.0,-1.0,-34.0,11.0,4.1,0.9,1.6,0.1,1.47,0.0,-8.0,0.47,9.56,-1.0,-0.9,0.1,0.0,-10.0,2.0,99.0,0.3,-4.0,4.2,-0.02,-6.0,2.0,3.34,1.05,0.006999999999999999,0.18,0.001,1.0,16.0,-3.0,-5.0,1.0,-53.0,1.2,0.0,0.82,-18.0,1.0,-0.5,-1.2,-1.8,-24.0,-2.0,0.1,-7.0,0.1,0.1,0.2,0.001,5.0,-5.0,-45.0,2.0,-0.1,25.9,0.1
C-Y,1.0,0.1,0.2,0.0,-3.0,0.5,-7.0,-1.78,3.0,0.0,0.1,0.001,-8.0,-0.5,-1.0,0.13,-1.0,-0.44,0.6,194.0,1.0,0.2,5.0,1.0,-9.0,0.6,-10.6,0.25,-7.7,0.0,3.0,8.0,-1.0,-25.0,10.0,2.6,0.1,2.6,0.1,1.22,0.0,0.0,0.48,17.3,-1.0,-0.4,0.1,0.0,-6.0,4.0,92.0,0.1,0.0,4.7,0.29,-6.0,1.0,2.38,1.86,0.0,0.21,0.015,0.0,-7.0,-4.0,-3.0,2.0,-19.0,2.1,0.0,0.4,-18.0,3.0,-0.3,1.0,-1.1,-1.0,-2.0,0.3,-1.0,0.1,3.9,1.2,0.0,5.0,-5.0,-8.0,2.0,0.1,30.3,0.1
D-A,1.31,2.8,1.1,0.008,-3.0,-6.5,6.0,-2.11,4.0,2.0,1.6,0.012,0.0,-0.3,0.0,-0.73,-5.0,-2.38,-0.2,126.0,-1.0,2.0,3.0,1.0,4.0,1.5,-6.9,0.05,-1.6,0.0,1.0,5.0,0.0,-4.0,9.0,1.0,2.9,-0.6,0.1,0.56,0.0,0.0,1.23,18.2,0.0,-0.3,0.1,0.0,-4.0,-1.0,33.0,2.7,0.0,4.9,0.07,-1.0,3.0,2.37,-5.3,0.038,-0.08,0.039,0.0,-2.0,-3.0,-2.0,0.0,-1.0,1.7,-2.0,0.04,-20.0,0.0,1.0,0.7,0.2,0.0,-2.0,2.9,-1.0,3.9,1.9,1.9,0.044000000000000004,0.0,-3.0,-1.0,0.0,1.0,4.1,2.5
D-C,1.44,0.3,0.3,0.0,-12.0,-7.5,-14.0,-4.24,1.0,-15.0,0.1,0.0,-4.0,-3.2,-7.0,-2.51,-7.0,-6.98,-3.7,154.0,0.0,0.4,-20.0,2.0,0.0,0.3,-8.3,-0.1,-9.7,-8.0,-13.0,5.0,-8.0,-26.0,8.0,-1.6,0.1,-3.7,0.1,0.67,-4.0,-5.0,0.6,14.0,0.0,-3.2,0.1,0.0,-8.0,-1.0,30.0,0.3,-3.0,2.0,-0.1,-7.0,1.0,3.48,-10.18,0.0,-0.24,0.0,0.0,-1.0,-5.0,-3.0,-3.0,-16.0,0.1,-2.0,-0.41,-30.0,-3.0,-3.1,-2.3,-1.7,-13.0,-4.0,0.1,-5.0,0.3,0.1,0.6,0.006999999999999999,0.0,-7.0,-13.0,1.0,-0.2,22.2,0.4
D-E,1.31,8.3,4.5,0.059000000000000004,3.0,2.0,12.0,3.93,5.0,8.0,6.1,0.042,10.0,2.7,3.0,1.2,6.0,2.41,3.9,45.0,4.0,6.9,34.0,1.0,29.0,5.0,-6.4,0.07,2.4,10.0,6.0,10.0,15.0,10.0,11.0,3.8,5.6,4.4,4.0,0.58,7.0,3.0,1.17,22.8,1.0,2.9,1.0,2.0,4.0,5.0,94.0,9.8,3.0,7.9,0.09,2.0,5.0,0.9,3.96,0.109,0.37,0.102,6.0,6.0,2.0,2.0,4.0,17.0,3.0,0.0,0.32,20.0,8.0,3.2,2.7,1.0,5.0,1.0,9.2,3.0,11.0,5.8,8.3,0.091,0.0,2.0,20.0,-2.0,-2.7,-6.0,4.2
D-F,0.79,0.1,0.4,0.008,-13.0,-5.5,-25.0,-5.14,1.0,-20.0,0.2,0.002,-24.0,-4.5,-7.0,-2.19,-5.0,-5.06,-5.4,177.0,-4.0,0.2,-31.0,2.0,-24.0,0.1,-9.5,-0.31,-7.0,-9.0,-15.0,2.0,-10.0,-17.0,4.0,-1.7,0.3,-5.7,0.1,1.17,-6.0,-6.0,1.17,9.04,-1.0,-4.7,0.1,0.0,-10.0,-6.0,19.0,0.3,-5.0,0.7,-0.35,-5.0,1.0,4.27,-9.67,0.006,-0.4,0.006999999999999999,-3.0,-18.0,-5.0,-4.0,-5.0,-21.0,0.1,-4.0,-0.62,-33.0,-6.0,-3.7,-3.0,-0.3,-6.0,-5.0,0.1,-7.0,0.1,0.5,0.0,0.016,0.0,-6.0,-26.0,-1.0,-0.1,5.7,0.2
D-G,1.02,2.3,2.0,0.011000000000000001,-3.0,-4.5,6.0,0.59,4.0,-5.0,1.3,0.008,4.0,0.1,0.0,-1.2,-2.0,-3.91,0.7,94.0,2.0,1.9,8.0,1.0,-4.0,1.2,-6.3,0.08,-2.1,8.0,-7.0,6.0,7.0,3.0,9.0,1.1,0.1,0.8,1.7,0.61,4.0,1.0,1.88,18.7,0.0,0.2,1.2,0.0,-2.0,1.0,36.0,1.4,0.0,5.3,0.08,-1.0,3.0,2.37,0.39,0.040999999999999995,0.11,0.042,3.0,2.0,-2.0,-1.0,1.0,1.0,0.2,-2.0,0.15,-10.0,3.0,0.9,-0.4,-0.4,2.0,-1.0,3.4,-1.0,2.0,4.0,3.3,0.040999999999999995,0.0,-3.0,0.0,-1.0,-1.0,-7.1,2.0
D-H,1.05,0.3,0.2,0.013999999999999999,-3.0,-3.5,5.0,-0.65,3.0,-3.0,0.1,0.004,3.0,0.4,0.0,-0.01,-1.0,0.32,0.3,81.0,3.0,0.3,10.0,1.0,24.0,0.6,-8.1,-0.01,-0.7,4.0,-5.0,5.0,8.0,12.0,9.0,1.7,0.1,0.1,1.5,0.68,3.0,1.0,1.63,17.2,0.0,0.4,0.1,0.0,-2.0,2.0,61.0,0.5,0.0,5.6,0.0,0.0,4.0,1.72,-2.59,0.027000000000000003,0.22,0.008,2.0,1.0,-2.0,0.0,0.0,17.0,0.5,-1.0,0.18,-7.0,3.0,0.5,0.2,-1.3,1.0,-1.0,0.4,0.0,0.4,0.1,0.6,0.055999999999999994,6.6,-2.0,7.0,0.0,-0.2,-2.7,0.7
D-I,0.93,0.4,0.5,0.017,-6.0,-6.5,-6.0,-4.98,1.0,-9.0,0.4,0.006999999999999999,-12.0,-3.8,-3.0,-2.77,-5.0,-6.18,-4.0,168.0,-3.0,0.4,-39.0,2.0,-22.0,0.6,-8.3,-0.28,-4.8,-12.0,-7.0,3.0,-14.0,-10.0,3.0,-2.1,0.4,-4.2,0.1,1.06,-9.0,-2.0,1.04,13.7,-1.0,-3.9,0.6,0.0,-8.0,-7.0,23.0,0.4,-4.0,1.4,-0.29,-3.0,0.0,3.98,-13.72,0.009000000000000001,-0.54,0.003,-4.0,-9.0,-5.0,-4.0,-3.0,-17.0,1.0,-4.0,-0.78,-34.0,-3.0,-2.9,-1.6,0.0,-9.0,-6.0,0.1,-6.0,0.6,0.9,0.1,0.033,0.0,-7.0,-13.0,-1.0,0.0,5.3,0.8
D-K,1.18,2.3,1.1,0.018000000000000002,-4.0,-5.0,13.0,1.13,3.0,1.0,1.4,0.0,2.0,0.5,-1.0,0.66,-5.0,1.53,0.2,101.0,2.0,1.9,10.0,2.0,30.0,1.3,-6.9,0.13,-1.5,11.0,-2.0,9.0,16.0,-2.0,11.0,0.3,2.0,-0.2,0.1,0.64,7.0,0.0,1.38,18.2,0.0,0.4,0.1,0.0,-2.0,1.0,98.0,1.6,0.0,5.7,0.14,-1.0,3.0,2.05,-0.39,0.033,0.18,0.036000000000000004,0.0,-4.0,-1.0,0.0,0.0,8.0,0.5,-1.0,0.16,-4.0,3.0,1.4,-0.1,0.1,0.0,0.0,3.1,0.0,0.6,1.7,2.4,0.034,5.0,-2.0,9.0,0.0,-0.7,-10.6,0.9
D-L,1.0,0.4,0.3,0.006,-11.0,-6.0,-16.0,-4.75,1.0,-14.0,0.5,0.002,-21.0,-4.0,-5.0,-2.65,-5.0,-7.41,-4.9,172.0,-3.0,0.4,-40.0,2.0,-27.0,0.5,-7.1,0.01,-8.0,-10.0,-10.0,3.0,-11.0,-21.0,6.0,-2.4,0.6,-5.3,1.3,0.96,-8.0,-4.0,1.09,12.5,-1.0,-4.2,0.9,0.0,-8.0,-7.0,25.0,0.4,-4.0,1.2,0.01,-6.0,1.0,4.1,-11.35,0.004,-0.55,0.006,-1.0,-18.0,-5.0,-3.0,-4.0,-22.0,0.3,-3.0,-0.75,-43.0,-5.0,-3.4,-1.3,-0.2,-10.0,-5.0,0.6,-6.0,0.1,0.1,0.2,0.012,0.0,-7.0,-20.0,1.0,-0.8,4.8,0.8
D-M,0.94,0.2,0.0,0.0,-9.0,-6.0,-13.0,-4.55,0.0,-9.0,0.3,0.001,-9.0,-3.0,-4.0,-2.58,-5.0,-7.88,-3.9,160.0,-2.0,0.3,-16.0,3.0,5.0,0.1,-8.2,-0.09,-5.9,-6.0,-7.0,4.0,-7.0,-7.0,5.0,-2.5,0.1,-4.3,0.4,0.93,-4.0,-3.0,1.34,15.5,-1.0,-3.2,0.1,0.0,-8.0,-6.0,21.0,0.3,-3.0,2.2,-0.08,-4.0,2.0,3.69,-9.45,0.009000000000000001,-0.25,0.002,-1.0,-7.0,-5.0,-3.0,-3.0,-5.0,0.1,-1.0,-0.9,-30.0,-3.0,-2.8,-1.7,-0.5,-7.0,-4.0,0.1,-5.0,0.5,0.3,0.0,0.022000000000000002,0.0,-6.0,-11.0,2.0,0.1,4.4,0.0
D-N,1.08,8.0,3.8,0.095,2.0,-0.5,8.0,3.25,5.0,5.0,7.8,0.11199999999999999,7.0,2.2,2.0,1.78,2.0,4.07,2.4,23.0,1.0,6.1,32.0,1.0,18.0,6.2,-6.3,0.3,2.6,12.0,4.0,6.0,16.0,9.0,11.0,1.7,1.2,2.5,3.1,0.69,8.0,2.0,1.52,21.4,1.0,2.2,2.9,3.0,4.0,5.0,73.0,4.1,2.0,7.4,0.35,2.0,5.0,0.65,3.82,0.08800000000000001,0.56,0.07,2.0,4.0,2.0,2.0,2.0,13.0,4.7,0.0,0.2,18.0,6.0,3.3,2.2,0.8,5.0,1.0,9.4,3.0,7.3,6.1,7.5,0.094,9.0,2.0,11.0,-1.0,1.3,-2.7,3.0
D-P,0.84,1.4,0.3,0.04,-7.0,-7.0,-7.0,1.12,2.0,-8.0,1.4,0.004,5.0,-0.7,-2.0,0.72,-5.0,0.81,-1.8,108.0,3.0,1.1,1.0,2.0,-26.0,1.2,-7.3,0.02,-1.0,7.0,-9.0,4.0,11.0,-2.0,8.0,-2.2,1.1,-2.8,0.7,0.75,6.0,-1.0,2.04,19.4,0.0,-1.0,0.1,0.0,-2.0,1.0,44.0,1.2,0.0,4.5,0.01,-1.0,3.0,2.4,-0.94,0.051,0.09,0.013999999999999999,3.0,1.0,-2.0,-1.0,-2.0,-7.0,0.9,-1.0,-0.15,-7.0,-2.0,-0.2,-0.4,-1.2,2.0,-1.0,1.4,-1.0,0.6,0.9,1.3,0.047,0.0,-3.0,5.0,0.0,-0.6,-8.2,1.0
D-Q,1.25,1.7,0.9,0.02,-2.0,-2.5,8.0,0.92,4.0,4.0,2.5,0.011000000000000001,6.0,0.9,1.0,0.34,0.0,1.1,0.6,61.0,3.0,1.2,8.0,2.0,18.0,1.8,-7.3,0.11,-1.1,13.0,2.0,6.0,16.0,3.0,11.0,0.3,0.1,0.6,0.1,0.64,6.0,2.0,1.17,22.2,0.0,0.8,0.2,1.0,0.0,3.0,68.0,0.5,1.0,6.1,0.13,0.0,4.0,1.47,0.63,0.08900000000000001,0.19,0.031,3.0,3.0,0.0,0.0,1.0,9.0,0.1,-1.0,0.16,2.0,2.0,1.1,1.5,0.6,1.0,0.0,1.9,1.0,0.9,2.8,1.5,0.052000000000000005,0.0,-1.0,10.0,-1.0,-1.2,-6.5,0.6
D-R,1.18,0.7,0.2,0.01,-9.0,-9.5,8.0,-0.33,2.0,1.0,0.6,0.0,3.0,-0.3,-3.0,0.13,-7.0,-0.33,-1.0,96.0,0.0,0.5,2.0,2.0,-1.0,0.5,-7.3,-0.08,-3.4,9.0,-2.0,9.0,13.0,0.0,10.0,-2.3,0.4,-1.5,0.4,0.63,4.0,-1.0,1.41,18.2,0.0,-0.5,0.2,0.0,-4.0,0.0,81.0,1.1,-1.0,4.9,-0.08,-2.0,1.0,2.34,-1.93,0.023,-0.01,0.012,3.0,0.0,-2.0,-1.0,-1.0,2.0,0.4,-1.0,-0.06,-18.0,1.0,0.1,-0.4,-0.1,-2.0,-1.0,0.2,-3.0,1.4,0.1,0.3,0.025,0.0,-3.0,5.0,1.0,-0.9,-7.2,0.6
D-S,0.97,2.6,0.9,0.026000000000000002,-3.0,-5.5,8.0,0.9,3.0,3.0,1.8,0.016,5.0,0.5,0.0,0.71,-4.0,2.34,0.1,65.0,2.0,2.4,7.0,2.0,17.0,1.6,-5.7,0.02,-0.2,6.0,2.0,7.0,8.0,0.0,10.0,-2.1,2.3,-0.4,1.9,0.77,4.0,0.0,1.63,19.1,0.0,0.4,0.6,0.0,0.0,2.0,39.0,2.0,0.0,5.7,0.03,0.0,3.0,1.87,1.79,0.065,0.22,0.047,3.0,3.0,0.0,0.0,0.0,8.0,1.9,-1.0,-0.14,4.0,0.0,1.7,0.9,0.7,0.0,0.0,2.5,0.0,2.9,1.9,2.9,0.054000000000000006,6.6,-1.0,3.0,-1.0,-0.3,-0.1,2.7
D-T,1.01,1.2,0.6,0.02,-4.0,-5.5,8.0,-0.56,2.0,-1.0,1.4,0.005,2.0,0.0,-1.0,-0.75,-5.0,-1.36,-0.7,85.0,2.0,1.0,11.0,2.0,2.0,1.1,-6.5,-0.18,-1.8,3.0,-2.0,5.0,4.0,-1.0,9.0,-2.1,0.9,-1.2,0.5,0.88,2.0,0.0,1.27,19.0,0.0,-0.2,1.3,0.0,-2.0,1.0,35.0,1.0,0.0,5.2,-0.19,-1.0,3.0,2.05,-0.32,0.048,0.23,0.031,3.0,1.0,-2.0,-1.0,-1.0,2.0,0.4,-1.0,-0.1,-10.0,0.0,0.1,0.2,0.0,0.0,-1.0,1.4,-1.0,0.1,0.1,1.2,0.044000000000000004,0.0,-2.0,1.0,0.0,1.2,-4.9,1.5
D-V,1.01,0.2,0.4,0.013000000000000001,-7.0,-6.0,-4.0,-4.97,3.0,-7.0,0.3,0.005,-9.0,-2.9,-3.0,-2.02,-5.0,-6.1,-3.0,152.0,-1.0,0.2,-32.0,1.0,-30.0,0.2,-7.1,-0.22,-5.2,-12.0,-7.0,4.0,-13.0,-13.0,3.0,1.0,0.1,-3.3,0.8,0.99,-9.0,-2.0,0.99,15.1,-1.0,-2.9,0.1,0.0,-8.0,-3.0,26.0,0.0,-3.0,2.3,-0.25,-4.0,1.0,3.4,-12.42,0.013000000000000001,-0.48,0.016,-2.0,-4.0,-5.0,-3.0,-2.0,-18.0,0.1,-3.0,-0.39,-31.0,-3.0,-2.5,-1.8,0.0,-10.0,-5.0,0.3,-4.0,0.1,0.1,0.4,0.025,0.0,-6.0,-15.0,0.0,0.1,8.1,0.5
